Name,Date,Transect,Deployment,QAQC_by,Drop_time,Notes,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,840,745,ULVA,whippo,2021-07-07 17:31:11+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,950,1270,ULVA,whippo,2021-07-07 17:31:11+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,823,2030,MASP,whippo,2021-07-07 17:24:25+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,740,2262,MASP,whippo,2021-07-07 17:24:25+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,812,2442,MASP,whippo,2021-07-07 17:24:25+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1099,1306,ULVA,whippo,2021-07-07 17:31:11+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1223,2122,MASP,whippo,2021-07-07 17:24:25+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1351,823,ULVA,whippo,2021-07-07 17:31:11+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1446,795,ULVA,whippo,2021-07-07 17:31:11+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1702,1423,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1493,1350,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1348,1599,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1367,2130,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1469,2282,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1417,2507,OBSC,whippo,2021-07-07 17:24:25+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1751,1461,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1876,1866,ULVA,whippo,2021-07-05 18:52:13+00:00
T10D2_20210701.png,2021-07-01,10,2,,1518,,,48.53807,-123.00050,4.25,,,,,,,,1948,2358,ZOMA,whippo,2021-07-07 17:31:11+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,312,826,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,559,803,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,375,1239,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,505,908,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,326,1522,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,577,2118,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,596,1928,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,591,2220,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,358,2552,OBSC,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,950,1569,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,655,2337,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,934,2368,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1332,2070,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1078,1875,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,997,2264,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1416,493,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1688,1346,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1537,1482,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1579,1981,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1461,1801,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1457,1905,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1960,530,DESP,mcmahsta,2021-07-07 17:29:38+00:00
